target_name,target_accession,tlen,query_name,query_accession,query_len,full_evalue,full_score,full_bias,domain_num,domain_total,domain_c_evalue,domain_i_evalue,domain_score,domain_bias,hmm_coord_from,hmm_coord_to,ali_coord_from,ali_coord_to,env_coord_from,env_coord_to,accuracy,description,full_query_name
Pkinase_Tyr,PF07714.13,260,Transcript_27,-,575,4.1e-13,49.1,0.1,2,2,0.62,5000.0,-3.7,1.9,216,234,1434,1491,1389,1548,0.42,Protein tyrosine kinase,Transcript_27.p1
WLM,PF08325.6,188,Transcript_27,-,245,4.6e-58,196.2,0.0,1,1,3.3e-62,5.4e-58,196.0,0.0,7,188,24,588,3,588,0.96,WLM domain,Transcript_27.p2
Metallophos,PF00149.24,197,Transcript_29,-,370,7.5e-31,108.0,1.1,1,2,0.75,12000.0,-3.7,0.0,140,147,195,228,102,264,0.61,Calcineurin-like phosphoesterase,Transcript_29.p1
Metallophos,PF00149.24,197,Transcript_29,-,370,7.5e-31,108.0,1.1,2,2,5.5e-35,8.9e-31,107.8,0.4,1,194,330,906,327,915,0.9,Calcineurin-like phosphoesterase,Transcript_29.p1
RRM_6,PF14259.2,66,Transcript_30,-,274,2e-06,27.7,0.0,1,1,2e-10,3.2e-06,27.0,0.0,1,66,309,531,306,531,0.9,"RNA recognition motif (a.k.a. RRM, RBD, or RNP domain)",Transcript_30.p1
His_Phos_2,PF00328.18,383,Transcript_31,-,410,1.1e-48,166.4,0.4,1,1,7.9e-53,1.3e-48,166.2,0.4,0,383,186,1191,186,1191,0.9,Histidine phosphatase superfamily (branch 2),Transcript_31.p1
His_Phos_2,PF00328.18,383,Transcript_32,-,394,1.6e-48,165.9,0.5,1,1,1.2e-52,1.9e-48,165.6,0.5,0,383,138,1143,138,1143,0.89,Histidine phosphatase superfamily (branch 2),Transcript_32.p1
MFS_1,PF07690.12,352,Transcript_33,-,624,9.4e-32,110.2,33.5,1,2,1.2e-35,9.4e-32,110.2,33.5,1,352,555,1701,552,1701,0.79,Major Facilitator Superfamily,Transcript_33.p1
MFS_1,PF07690.12,352,Transcript_33,-,624,9.4e-32,110.2,33.5,2,2,0.021,170.0,0.8,2.0,220,269,1686,1830,1647,1851,0.51,Major Facilitator Superfamily,Transcript_33.p1
Sugar_tr,PF00083.20,452,Transcript_33,-,624,1.5e-13,50.3,13.7,1,1,2.1e-17,1.7e-13,50.1,12.8,48,305,651,1398,612,1593,0.87,Sugar (and other) transporter,Transcript_33.p1
MFS_1,PF07690.12,352,Transcript_34,-,623,9.4e-32,110.2,33.5,1,2,1.2e-35,9.4e-32,110.2,33.5,1,352,555,1701,552,1701,0.79,Major Facilitator Superfamily,Transcript_34.p1
MFS_1,PF07690.12,352,Transcript_34,-,623,9.4e-32,110.2,33.5,2,2,0.021,170.0,0.7,2.0,220,269,1686,1830,1647,1851,0.51,Major Facilitator Superfamily,Transcript_34.p1
Sugar_tr,PF00083.20,452,Transcript_34,-,623,1.5e-13,50.3,13.7,1,1,2e-17,1.7e-13,50.2,12.8,48,305,651,1398,612,1593,0.87,Sugar (and other) transporter,Transcript_34.p1
BCDHK_Adom3,PF10436.5,151,Transcript_36,-,395,1.6e-21,76.8,0.6,1,1,3.3e-25,2.7e-21,76.1,0.6,26,150,243,633,162,636,0.87,Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase,Transcript_36.p1
HATPase_c,PF02518.22,106,Transcript_36,-,395,1.5e-15,57.2,0.0,1,1,2.9e-19,2.3e-15,56.6,0.0,2,104,771,1149,765,1155,0.87,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",Transcript_36.p1
Zn_clus,PF00172.14,40,Transcript_37,-,469,3.9e-13,49.1,10.8,1,1,1.1e-16,9.3e-13,47.9,10.8,0,39,15,126,15,129,0.95,Fungal Zn(2)-Cys(6) binuclear cluster domain,Transcript_37.p1
Fungal_trans,PF04082.14,267,Transcript_37,-,469,8.8e-06,24.8,1.8,1,1,2.3e-09,1.8e-05,23.7,1.8,2,170,264,729,258,951,0.77,Fungal specific transcription factor domain,Transcript_37.p1
Peptidase_S8,PF00082.18,285,Transcript_38,-,636,5.5e-43,147.0,2.7,1,2,2.0,16000.0,-6.4,5.5,41,58,165,282,78,669,0.62,Subtilase family,Transcript_38.p1
Peptidase_S8,PF00082.18,285,Transcript_38,-,636,5.5e-43,147.0,2.7,2,2,6.8e-47,5.5e-43,147.0,2.7,0,272,945,1698,945,1755,0.92,Subtilase family,Transcript_38.p1
Inhibitor_I9,PF05922.12,82,Transcript_38,-,636,1e-11,45.1,0.1,1,2,2.0,16000.0,-3.9,0.7,14,24,339,369,303,453,0.43,Peptidase inhibitor I9,Transcript_38.p1
Inhibitor_I9,PF05922.12,82,Transcript_38,-,636,1e-11,45.1,0.1,2,2,1.3e-15,1e-11,45.1,0.1,0,80,543,834,543,840,0.86,Peptidase inhibitor I9,Transcript_38.p1
Acetyltransf_1,PF00583.20,80,Transcript_40,-,170,1.1e-14,54.3,0.0,1,1,3.2e-18,1.7e-14,53.7,0.0,18,79,303,474,231,477,0.83,Acetyltransferase (GNAT) family,Transcript_40.p1
Acetyltransf_7,PF13508.2,84,Transcript_40,-,170,2.1e-10,40.8,0.1,1,1,5.6e-14,3e-10,40.3,0.1,3,83,219,477,210,480,0.8,Acetyltransferase (GNAT) domain,Transcript_40.p1
Acetyltransf_10,PF13673.2,117,Transcript_40,-,170,7.9e-06,26.1,0.0,1,1,1.9e-09,1e-05,25.7,0.0,27,117,162,474,78,474,0.75,Acetyltransferase (GNAT) domain,Transcript_40.p1
RRM_1,PF00076.18,70,Transcript_43,-,227,3.6e-12,45.8,0.0,1,1,7.4e-16,6e-12,45.1,0.0,2,66,243,438,237,450,0.95,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",Transcript_43.p1
RRM_6,PF14259.2,66,Transcript_43,-,227,2e-06,27.7,0.0,1,1,3.9e-10,3.2e-06,27.0,0.0,2,59,243,426,237,444,0.9,"RNA recognition motif (a.k.a. RRM, RBD, or RNP domain)",Transcript_43.p1
Alpha-amylase,PF00128.20,337,Transcript_44,-,445,7.2e-70,236.0,0.0,1,1,7.1e-74,1.2e-69,235.4,0.0,106,335,6,765,0,792,0.98,"Alpha amylase, catalytic domain",Transcript_44.p1
BAG,PF02179.12,75,Transcript_45,-,160,9.1e-15,54.7,2.5,1,1,9.9e-19,1.6e-14,53.9,2.5,0,75,219,474,219,474,0.85,BAG domain,Transcript_45.p1
2-Hacid_dh_C,PF02826.15,178,Transcript_46,-,470,4.5e-53,179.1,0.0,1,1,1.4e-56,7.5e-53,178.4,0.0,1,178,492,1047,489,1047,0.94,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",Transcript_46.p1
2-Hacid_dh,PF00389.26,134,Transcript_46,-,470,6.6e-40,135.7,0.1,1,1,1.6e-43,8.8e-40,135.3,0.1,0,134,180,1143,180,1143,0.99,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",Transcript_46.p1
NAD_binding_2,PF03446.11,161,Transcript_46,-,470,2.1e-06,27.8,0.2,1,1,1e-09,5.6e-06,26.4,0.2,2,111,597,915,591,936,0.89,NAD binding domain of 6-phosphogluconate dehydrogenase,Transcript_46.p1
2-Hacid_dh_C,PF02826.15,178,Transcript_47,-,470,4.5e-53,179.1,0.0,1,1,1.4e-56,7.5e-53,178.4,0.0,1,178,492,1047,489,1047,0.94,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",Transcript_47.p1
2-Hacid_dh,PF00389.26,134,Transcript_47,-,470,6.7e-40,135.7,0.1,1,1,1.6e-43,8.8e-40,135.3,0.1,0,134,180,1143,180,1143,0.99,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",Transcript_47.p1
NAD_binding_2,PF03446.11,161,Transcript_47,-,470,2.7e-06,27.5,1.0,1,2,1e-09,5.6e-06,26.4,0.2,2,111,597,915,591,936,0.89,NAD binding domain of 6-phosphogluconate dehydrogenase,Transcript_47.p1
NAD_binding_2,PF03446.11,161,Transcript_47,-,470,2.7e-06,27.5,1.0,2,2,0.6,3300.0,-2.1,0.0,86,110,1308,1380,1227,1389,0.82,NAD binding domain of 6-phosphogluconate dehydrogenase,Transcript_47.p1
BING4CT,PF08149.7,79,Transcript_47,-,416,4e-38,128.9,0.0,1,3,0.071,1200.0,-0.7,0.0,9,31,153,219,132,234,0.75,BING4CT (NUC141) domain,Transcript_47.p2
BING4CT,PF08149.7,79,Transcript_47,-,416,4e-38,128.9,0.0,2,3,0.0036,59.0,3.4,0.0,14,45,294,387,261,420,0.82,BING4CT (NUC141) domain,Transcript_47.p2
BING4CT,PF08149.7,79,Transcript_47,-,416,4e-38,128.9,0.0,3,3,6.1e-40,9.8e-36,121.3,0.0,0,79,681,918,681,918,0.99,BING4CT (NUC141) domain,Transcript_47.p2
RRM_1,PF00076.18,70,Transcript_48,-,420,6.5e-29,99.4,0.2,1,2,1.6e-20,8.8e-17,60.6,0.1,0,69,393,579,393,582,0.97,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",Transcript_48.p1
RRM_1,PF00076.18,70,Transcript_48,-,420,6.5e-29,99.4,0.2,2,2,4e-13,2.1e-09,36.9,0.0,0,69,618,819,618,822,0.96,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",Transcript_48.p1
RRM_6,PF14259.2,66,Transcript_48,-,420,9.1e-14,51.2,0.0,1,2,6.2e-14,3.4e-10,39.8,0.0,0,59,393,558,393,582,0.91,"RNA recognition motif (a.k.a. RRM, RBD, or RNP domain)",Transcript_48.p1
RRM_6,PF14259.2,66,Transcript_48,-,420,9.1e-14,51.2,0.0,2,2,0.00022,1.2,9.2,0.0,1,65,621,819,618,822,0.83,"RNA recognition motif (a.k.a. RRM, RBD, or RNP domain)",Transcript_48.p1
RRM_5,PF13893.2,56,Transcript_48,-,420,1.9e-09,37.7,0.0,1,2,3.8e-11,2.1e-07,31.2,0.0,0,55,435,591,435,594,0.93,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",Transcript_48.p1
RRM_5,PF13893.2,56,Transcript_48,-,420,1.9e-09,37.7,0.0,2,2,0.0095,51.0,4.3,0.0,17,54,717,828,696,831,0.88,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",Transcript_48.p1
DLH,PF01738.14,216,Transcript_49,-,247,3.9e-52,176.8,0.0,1,1,5.5e-56,4.5e-52,176.6,0.0,0,215,87,729,87,732,0.98,Dienelactone hydrolase family,Transcript_49.p2
Abhydrolase_5,PF12695.3,145,Transcript_49,-,247,1.8e-08,34.3,0.0,1,1,2.9e-12,2.4e-08,33.9,0.0,14,133,174,597,129,642,0.68,Alpha/beta hydrolase family,Transcript_49.p2
Iso_dh,PF00180.16,348,Transcript_50,-,370,2.1e-105,352.6,0.0,1,1,1.6e-109,2.6e-105,352.3,0.0,0,348,111,1095,111,1101,0.95,Isocitrate/isopropylmalate dehydrogenase,Transcript_50.p1
UCH,PF00443.25,264,Transcript_51,-,319,7.3e-34,117.1,0.1,1,1,1.7e-37,1.4e-33,116.2,0.1,143,264,168,513,18,513,0.86,Ubiquitin carboxyl-terminal hydrolase,Transcript_51.p1
UCH_1,PF13423.2,301,Transcript_51,-,319,4e-11,42.9,0.0,1,1,9.6e-15,7.8e-11,42.0,0.0,163,301,63,459,9,459,0.85,Ubiquitin carboxyl-terminal hydrolase,Transcript_51.p1
Biotin_lipoyl,PF00364.18,74,Transcript_52,-,200,1.5e-20,72.7,2.2,1,1,8.1e-24,3.3e-20,71.6,2.2,2,73,369,564,363,567,0.96,Biotin-requiring enzyme,Transcript_52.p1
PYC_OADA,PF02436.14,198,Transcript_52,-,200,4.4e-14,52.5,0.0,1,1,1.7e-17,7.1e-14,51.9,0.0,129,198,3,216,0,216,0.94,Conserved carboxylase domain,Transcript_52.p1
Biotin_lipoyl_2,PF13533.2,50,Transcript_52,-,200,6.3e-09,35.4,1.9,1,2,7.1e-08,0.00029,20.5,0.2,4,34,369,459,357,477,0.9,Biotin-lipoyl like,Transcript_52.p1
Biotin_lipoyl_2,PF13533.2,50,Transcript_52,-,200,6.3e-09,35.4,1.9,2,2,5.9e-06,0.024,14.3,0.1,4,35,480,573,471,582,0.89,Biotin-lipoyl like,Transcript_52.p1
HlyD_D23,PF16576.1,155,Transcript_52,-,200,1.1e-08,34.6,3.7,1,2,3e-07,0.0012,18.2,0.2,25,83,273,465,183,474,0.78,Barrel-sandwich domain of CusB or HlyD membrane-fusion,Transcript_52.p1
HlyD_D23,PF16576.1,155,Transcript_52,-,200,1.1e-08,34.6,3.7,2,2,4.1e-09,1.7e-05,24.3,0.3,2,82,312,573,306,588,0.92,Barrel-sandwich domain of CusB or HlyD membrane-fusion,Transcript_52.p1
CPSase_L_D2,PF02786.13,211,Transcript_53,-,637,7.8e-87,290.1,0.8,1,2,6.2e-90,1.3e-86,289.4,0.2,0,210,405,1032,405,1035,0.99,"Carbamoyl-phosphate synthase L chain, ATP binding domain",Transcript_53.p1
CPSase_L_D2,PF02786.13,211,Transcript_53,-,637,7.8e-87,290.1,0.8,2,2,4.3,8700.0,-4.2,0.0,99,111,1548,1584,1548,1593,0.84,"Carbamoyl-phosphate synthase L chain, ATP binding domain",Transcript_53.p1
CPSase_L_chain,PF00289.18,110,Transcript_53,-,637,7.6e-39,132.6,0.0,1,1,7e-42,1.4e-38,131.7,0.0,2,110,60,393,54,393,0.94,"Carbamoyl-phosphate synthase L chain, N-terminal domain",Transcript_53.p1
Biotin_carb_C,PF02785.15,108,Transcript_53,-,637,3.8e-31,107.3,0.0,1,1,3.8e-34,7.7e-31,106.3,0.0,0,107,1077,1401,1077,1404,0.97,Biotin carboxylase C-terminal domain,Transcript_53.p1
ATP-grasp_4,PF13535.2,184,Transcript_53,-,637,4.5e-16,59.5,0.2,1,1,4e-19,8.1e-16,58.7,0.2,2,179,402,942,396,954,0.84,ATP-grasp domain,Transcript_53.p1
ATPgrasp_Ter,PF15632.2,334,Transcript_53,-,637,4.9e-15,54.9,0.0,1,1,5.7e-18,1.2e-14,53.7,0.0,29,313,144,1023,93,1074,0.8,ATP-grasp in the biosynthetic pathway with Ter operon,Transcript_53.p1
Dala_Dala_lig_C,PF07478.9,204,Transcript_53,-,637,7.4e-08,32.0,0.0,1,1,7.5e-11,1.5e-07,31.0,0.0,29,174,498,936,468,939,0.86,D-ala D-ala ligase C-terminus,Transcript_53.p1
ATP-grasp,PF02222.18,171,Transcript_53,-,637,2.2e-07,30.5,0.0,1,1,2e-10,4e-07,29.6,0.0,13,159,474,939,432,954,0.88,ATP-grasp domain,Transcript_53.p1
ATP-grasp_3,PF02655.10,161,Transcript_53,-,637,4.6e-06,26.6,0.0,1,1,4.6e-09,9.3e-06,25.6,0.0,25,159,492,945,399,951,0.69,ATP-grasp domain,Transcript_53.p1
CPSase_L_D2,PF02786.13,211,Transcript_54,-,1181,1.8e-86,288.8,0.2,1,1,2.7e-89,3.7e-86,287.8,0.2,0,210,405,1032,405,1035,0.99,"Carbamoyl-phosphate synthase L chain, ATP binding domain",Transcript_54.p1
PYC_OADA,PF02436.14,198,Transcript_54,-,1181,2.9e-71,239.2,0.0,1,1,3.7e-74,5.1e-71,238.4,0.0,0,198,2553,3156,2553,3156,0.98,Conserved carboxylase domain,Transcript_54.p1
CPSase_L_chain,PF00289.18,110,Transcript_54,-,1181,1.4e-38,131.7,0.0,1,1,2.6e-41,3.5e-38,130.4,0.0,2,110,60,393,54,393,0.94,"Carbamoyl-phosphate synthase L chain, N-terminal domain",Transcript_54.p1
Biotin_carb_C,PF02785.15,108,Transcript_54,-,1181,6.6e-31,106.5,0.0,1,1,1.4e-33,1.9e-30,105.1,0.0,0,107,1077,1401,1077,1404,0.97,Biotin carboxylase C-terminal domain,Transcript_54.p1
HMGL-like,PF00682.15,264,Transcript_54,-,1181,1.3e-28,100.1,0.1,1,1,2.1e-31,2.9e-28,99.0,0.1,3,261,1677,2484,1671,2490,0.84,HMGL-like,Transcript_54.p1
Biotin_lipoyl,PF00364.18,74,Transcript_54,-,1181,5.8e-19,67.6,4.5,1,3,5.6,7600.0,-3.3,0.0,17,30,381,420,372,429,0.75,Biotin-requiring enzyme,Transcript_54.p1
Biotin_lipoyl,PF00364.18,74,Transcript_54,-,1181,5.8e-19,67.6,4.5,2,3,0.53,710.0,-0.0,0.2,30,69,2013,2130,1971,2133,0.87,Biotin-requiring enzyme,Transcript_54.p1
Biotin_lipoyl,PF00364.18,74,Transcript_54,-,1181,5.8e-19,67.6,4.5,3,3,4.3e-22,5.8e-19,67.6,4.5,0,74,3303,3507,3303,3507,0.98,Biotin-requiring enzyme,Transcript_54.p1
ATP-grasp_4,PF13535.2,184,Transcript_54,-,1181,1.2e-15,58.2,0.2,1,1,1.7e-18,2.3e-15,57.2,0.2,2,179,402,942,396,954,0.84,ATP-grasp domain,Transcript_54.p1
ATPgrasp_Ter,PF15632.2,334,Transcript_54,-,1181,8.4e-15,54.1,0.0,1,2,3.2e-17,4.4e-14,51.8,0.0,29,312,144,1020,93,1071,0.8,ATP-grasp in the biosynthetic pathway with Ter operon,Transcript_54.p1
ATPgrasp_Ter,PF15632.2,334,Transcript_54,-,1181,8.4e-15,54.1,0.0,2,2,1.2,1600.0,-2.7,0.0,147,179,1950,2043,1932,2058,0.66,ATP-grasp in the biosynthetic pathway with Ter operon,Transcript_54.p1
Biotin_lipoyl_2,PF13533.2,50,Transcript_54,-,1181,1.4e-08,34.3,2.1,1,2,1.5e-06,0.0021,17.8,0.1,3,34,3306,3399,3297,3420,0.92,Biotin-lipoyl like,Transcript_54.p1
Biotin_lipoyl_2,PF13533.2,50,Transcript_54,-,1181,1.4e-08,34.3,2.1,2,2,8.5e-06,0.011,15.4,0.2,4,36,3420,3516,3408,3525,0.93,Biotin-lipoyl like,Transcript_54.p1
Dala_Dala_lig_C,PF07478.9,204,Transcript_54,-,1181,2e-07,30.6,0.0,1,1,3e-10,4e-07,29.6,0.0,29,174,498,936,471,939,0.86,D-ala D-ala ligase C-terminus,Transcript_54.p1
ATP-grasp,PF02222.18,171,Transcript_54,-,1181,5.4e-07,29.2,0.0,1,1,8.1e-10,1.1e-06,28.2,0.0,13,159,474,939,432,951,0.88,ATP-grasp domain,Transcript_54.p1
ATP-grasp_3,PF02655.10,161,Transcript_54,-,1181,9.6e-06,25.6,0.0,1,1,1.9e-08,2.6e-05,24.2,0.0,26,159,495,945,399,951,0.69,ATP-grasp domain,Transcript_54.p1
CPSase_L_D2,PF02786.13,211,Transcript_55,-,1181,1.8e-86,288.8,0.2,1,1,2.7e-89,3.7e-86,287.8,0.2,0,210,405,1032,405,1035,0.99,"Carbamoyl-phosphate synthase L chain, ATP binding domain",Transcript_55.p1
PYC_OADA,PF02436.14,198,Transcript_55,-,1181,2.9e-71,239.2,0.0,1,1,3.7e-74,5.1e-71,238.4,0.0,0,198,2553,3156,2553,3156,0.98,Conserved carboxylase domain,Transcript_55.p1
CPSase_L_chain,PF00289.18,110,Transcript_55,-,1181,1.4e-38,131.7,0.0,1,1,2.6e-41,3.5e-38,130.4,0.0,2,110,60,393,54,393,0.94,"Carbamoyl-phosphate synthase L chain, N-terminal domain",Transcript_55.p1
Biotin_carb_C,PF02785.15,108,Transcript_55,-,1181,6.7e-31,106.5,0.0,1,1,1.4e-33,1.9e-30,105.1,0.0,0,107,1077,1401,1077,1404,0.97,Biotin carboxylase C-terminal domain,Transcript_55.p1
HMGL-like,PF00682.15,264,Transcript_55,-,1181,8.3e-29,100.8,0.1,1,1,1.3e-31,1.7e-28,99.8,0.1,3,261,1677,2484,1671,2490,0.85,HMGL-like,Transcript_55.p1
Biotin_lipoyl,PF00364.18,74,Transcript_55,-,1181,5.8e-19,67.6,4.5,1,3,5.6,7600.0,-3.3,0.0,17,30,381,420,372,429,0.75,Biotin-requiring enzyme,Transcript_55.p1
Biotin_lipoyl,PF00364.18,74,Transcript_55,-,1181,5.8e-19,67.6,4.5,2,3,0.44,600.0,0.2,0.2,30,69,2013,2130,1971,2133,0.86,Biotin-requiring enzyme,Transcript_55.p1
Biotin_lipoyl,PF00364.18,74,Transcript_55,-,1181,5.8e-19,67.6,4.5,3,3,4.3e-22,5.8e-19,67.6,4.5,0,74,3303,3507,3303,3507,0.98,Biotin-requiring enzyme,Transcript_55.p1
ATP-grasp_4,PF13535.2,184,Transcript_55,-,1181,1.2e-15,58.2,0.2,1,1,1.7e-18,2.3e-15,57.2,0.2,2,179,402,942,396,954,0.84,ATP-grasp domain,Transcript_55.p1
ATPgrasp_Ter,PF15632.2,334,Transcript_55,-,1181,8.2e-15,54.2,0.0,1,2,3.2e-17,4.4e-14,51.8,0.0,29,312,144,1020,93,1071,0.8,ATP-grasp in the biosynthetic pathway with Ter operon,Transcript_55.p1
ATPgrasp_Ter,PF15632.2,334,Transcript_55,-,1181,8.2e-15,54.2,0.0,2,2,0.99,1300.0,-2.4,0.0,147,179,1950,2043,1932,2064,0.67,ATP-grasp in the biosynthetic pathway with Ter operon,Transcript_55.p1
Biotin_lipoyl_2,PF13533.2,50,Transcript_55,-,1181,1.4e-08,34.3,2.1,1,2,1.5e-06,0.0021,17.8,0.1,3,34,3306,3399,3297,3420,0.92,Biotin-lipoyl like,Transcript_55.p1
